NUMERO_PLACA,MARCA,COLOR,ANIO DE MATRICULA,MODELO,CLASE,FECHA DE MATRICULA,ANIO,SERVICIO,FECHA DE CADUCIDAD
HBC3634,NISSAN,PLATEADO,2016,VERSA AC 1.6 4P 4X2 TA,AUTOMOVIL,02-09-2016,2017,USO PARTICULAR,01-09-2021,
HBC3727,CHEVROLET,DORADO,2019,AVEO EMOTION GLS AC 1.6 4P 4X2 TM,AUTOMOVIL,11-07-2019,2017,USO PARTICULAR,09-07-2024,
HBC4194,TOYOTA,PLATEADO,2018,NEW HILUX 2.7 CD 4X2 TM,CAMIONETA,12-06-2018,2017,USO PARTICULAR,11-06-2023,
HBC4281,KIA,PLATEADO,2017,RIO R LX 1.4 4P 4X2 TM,AUTOMOVIL,23-02-2017,2017,USO PARTICULAR,22-02-2022,
HBC4437,SUZUKI,VINO,2017,GRAND VITARA SZ AC 2.0 5P 4X2 TM,SIN VALOR,03-04-2017,2017,USO PARTICULAR,02-04-2022,
HBC4625,FORD,BLANCO,2017,RANGER XLS AC 2.5 CD 4X2 TM,CAMIONETA,17-05-2017,2016,USO PARTICULAR,16-05-2022,
HBC4751,NISSAN,VERDE,2019,X-TRAIL SENSE CVT AC 2.5 5P 4X2 TA,VEH. UTILITARIO,06-06-2019,2017,USO PARTICULAR,04-06-2024,
HBC5171,GREAT WALL,NEGRO,2017,WINGLE AC 2.4 CD 4X2 TM,CAMIONETA,14-08-2017,2018,USO PARTICULAR,13-08-2022,
HBC5839,FORD,PLATEADO,2017,EXPLORER XLT AC 3.5 5P 4X4 TA,SIN VALOR,22-11-2017,2017,USO PARTICULAR,21-11-2022,
HBC5902,HYUNDAI,AMARILLO,2018,ACCENT 1.4 4P 4X2 TM,AUTOMOVIL,04-12-2018,2018,USO PUBLICO,31-03-2023,
HBC7266,GREAT WALL,ROJO,2018,WINGLE 5 AC 2.4 CD 4X2 TM,CAMIONETA,11-05-2018,2019,USO PARTICULAR,10-05-2023,
HBC7530,CHEVROLET,DORADO,2018,N300 MAX CARGO AC 1.2 5P 4X2 TM,CAMIONETA,14-06-2018,2019,USO PARTICULAR,13-06-2023,
HBC7572,NISSAN,BLANCO,2018,X-TRAIL SENSE 2 ROW AC 2.5 5P 4X2 TA,SIN VALOR,19-06-2018,2019,USO PARTICULAR,18-06-2023,
HBC7578,GREAT WALL,PLATEADO,2018,WINGLE 5 AC 2.2 CD 4X2 TM,CAMIONETA,19-06-2018,2019,USO PARTICULAR,18-06-2023,
HBC7618,FORD,NEGRO,2018,F150 RC AC 3.5 CS 4X4 TA,CAMIONETA,23-11-2018,2017,USO PARTICULAR,22-11-2023,
HC298I,SHINERAY,AZUL,2018,XY125-8,MOTOCICLETA,30-08-2018,2009,USO PARTICULAR,30-09-2023,
HCN0043,HYUNDAI,CREMA,2017,TUCSON 4X2 STD TM BHW5B2615 DDF67,VEH. UTILITARIO,21-04-2017,2009,USO PARTICULAR,20-04-2022,
HCN0107,MAZDA,AZUL,2017,BT-50 2.6 CS 4X4,CAMIONETA,30-08-2017,2009,USO PARTICULAR,29-08-2022,
HCN0253,SUZUKI,ROJO,2017,GRAND VITARA SZ 2.0L 5P TA 4X2,VEH. UTILITARIO,13-11-2017,2009,USO PARTICULAR,25-04-2024,
HCN0345,MAZDA,ROJO,2017,BT-50 2.6 CD ACTION 4X4,CAMIONETA,08-06-2017,2009,USO PARTICULAR,07-06-2022,
HCN0390,HYUNDAI,AZUL,2016,TUCSON 5P 4X2 2.0 TM,VEH. UTILITARIO,01-11-2016,2009,USO PARTICULAR,31-10-2021,
HCN0873,CHEVROLET,BLANCO,2020,LUV D-MAX 3.0L DIESEL CD TM 4X4,CAMIONETA,21-10-2020,2009,USO PUBLICO,30-04-2025,
HE132D,BAJAJ,AZUL,2020,PULSAR 135 LS,MOTOCICLETA,14-09-2020,2013,USO PARTICULAR,13-09-2025,
HE154E,TRAXX,AZUL,2015,TX200GY-8F,MOTOCICLETA,10-09-2015,2010,USO PARTICULAR, ,
HE174E,SUKIDA,NEGRO,2019,SK200GY-A SKR200,MOTOCICLETA,12-06-2019,2010,USO PARTICULAR,10-06-2024,
AA045C,TVS,ROJO,2017,KING,MOTOCICLETA,21-06-2017,2010,USO PUBLICO, ,
AA073C,PIAGGIO,VERDE,2015,APE CITY PASSENGER,MOTOCICLETA,25-03-2015,2011,USO PUBLICO, ,
AA089C,PIAGGIO,VERDE,2014,APE CITY PASSENGER,MOTOCICLETA,14-04-2014,2010,USO PUBLICO, ,
AA604D,TUKO,PLATEADO,2018,TK 150 H2 CRM,MOTOCICLETA,13-06-2018,2017,USO PARTICULAR,12-06-2023,
AA700A,BAJAJ,ROJO,2016,RE205,MOTOCICLETA,09-06-2016,2012,USO PUBLICO,08-06-2021,
AA930D,RANGER,NEGRO,2018,150 BWSM,MOTOCICLETA,16-06-2018,2018,USO PARTICULAR,15-06-2023,
AAA4682,TATA DAEWOO,BLANCO,2018,K4DEF AC 11.1 2P 6X4 TM DIESEL,VEHICULO ESPECIAL,06-06-2018,2019,USO PARTICULAR,05-06-2023,
AAY0059,HINO,BLANCO,2016,FS1ELVD,VEHICULO ESPECIAL,07-11-2016,2009,USO PUBLICO,06-11-2021,
ABA3854,CHEVROLET,ROJO,2019,VITARA 1.6L 3P STD TM 4X4,VEH. UTILITARIO,07-03-2019,2009,USO PARTICULAR,05-03-2024,
ABA5900,TOYOTA,PLATEADO,2016,CCT HILUX 4X4 CD DIESEL,CAMIONETA,29-12-2016,2011,USO PARTICULAR,09-03-2024,
ABB4083,LEXUS,BLANCO,2015,HS 250 HYBRID,AUTOMOVIL,20-08-2015,2010,USO PARTICULAR, ,
ABC2794,TOYOTA,PLOMO,2020,AWT FORTUNER TM,VEH. UTILITARIO,06-08-2020,2012,USO PARTICULAR,31-05-2025,
ABC5334,CHEVROLET,PLATEADO,2017,LUV D-MAX 3.5L V6 CD TM 4X2,CAMIONETA,30-10-2017,2009,USO PARTICULAR,31-05-2022,
ABF9081,TOYOTA,BLANCO,2016,NEW HILUX 2.7 CS 4X2 TM,CAMIONETA,11-03-2016,2016,USO PARTICULAR,10-03-2021,
ABH2482,CHERY,NEGRO,2018,A13T TIGGO2 LUX AC 1.5 5P 4X2 TM,SIN VALOR,12-04-2018,2018,USO PARTICULAR,11-04-2023,
ABH2639,PEUGEOT,BLANCO,2018,301 N1 16E AC 1.6 4P 4X2 TM,AUTOMOVIL,26-04-2018,2019,USO PARTICULAR,25-04-2023,
ABH2705,KIA,PLOMO,2018,SPORTAGE SL AC 2.0 5P 4X2 TM,SIN VALOR,03-05-2018,2019,USO PARTICULAR,02-05-2023,
ABH2797,SUZUKI,BLANCO,2019,SCROSS AC 1.6 5P 4X2 TM,VEH. UTILITARIO,13-11-2019,2019,USO PARTICULAR,11-11-2024,
AC303M,LONCIN,ROJO,2017,LX110-4III,MOTOCICLETA,16-08-2017,2017,USO PARTICULAR,15-08-2022,
AC393M,MOTOR UNO,NEGRO,2017,M1R250,MOTOCICLETA,25-08-2017,2017,USO PARTICULAR,24-08-2022,
AC634M,TUNDRA,NEGRO,2017,TD250GY-4,MOTOCICLETA,07-09-2017,2015,USO PARTICULAR,06-09-2022,
AC685M,BAJAJ,AZUL,2019,PULSAR 135 LS,MOTOCICLETA,08-10-2019,2015,USO PARTICULAR,06-10-2024,
AE369B,BAJAJ,BLANCO,2017,PULSAR 200 NS,MOTOCICLETA,28-12-2017,2018,USO PARTICULAR,27-12-2022,
AE836B,RANGER,ROJO,2018,BS200-6,MOTOCICLETA,27-03-2018,2018,USO PARTICULAR,26-03-2023,
AE912B,LONCIN,NEGRO,2018,LX200-SX1,MOTOCICLETA,06-04-2018,2017,USO PARTICULAR,05-04-2023,
AGE0658,TOYOTA,CREMA,2018,CDT HILUX 4X4 CD AA DIESEL,CAMIONETA,21-06-2018,2009,USO PARTICULAR,20-06-2023,
AGE0874,HYUNDAI,BLANCO,2019,SANTA FE 7PAS 4X2 2.7 TM SFULL,VEH. UTILITARIO,20-05-2019,2009,USO PARTICULAR,18-05-2024,
AGJ0634,CHEVROLET,AZUL,2018,AVEO ACTIVO 1.6L 4P AC,AUTOMOVIL,22-05-2018,2010,USO PARTICULAR,31-05-2023,
BBW0215,MAZDA,BLANCO,2017,BT-50 CH 4X2 STD GAS 2.2,CAMIONETA,28-06-2017,2009,USO PARTICULAR,27-06-2022,
BBW0242,CHEVROLET,ROJO,2018,AVEO ACTIVO 1.6L 4P STD,AUTOMOVIL,19-03-2018,2009,USO PARTICULAR,18-03-2023,
BBW0886,KIA,AZUL,2017,SPORTAGE R 2.0L 4X2 GSL MT,VEH. UTILITARIO,20-03-2017,2011,USO PARTICULAR,19-03-2022,
CAA1022,HYUNDAI,AMARILLO,2016,ACCENT SEDAN 1.4 STD,AUTOMOVIL,06-10-2016,2012,USO PUBLICO,29-12-2020,
CAA1368,CHEVROLET,BLANCO,2018,FTR 34P 7.8 2P 4X2 TM DIESEL,CAMION,20-08-2018,2015,USO PARTICULAR,19-08-2023,
CAA1460,CHEVROLET,BLANCO,2020,NPR 75H 5.2 2P 4X2 TM DIESEL,CAMION,03-02-2020,2015,USO PUBLICO,01-01-2025,
CAA2107,HINO,BLANCO,2017,GH8JMSA AC 7.7 2P 4X2 TM DIESEL,CAMION,29-05-2017,2017,USO PUBLICO,28-05-2022,
CAH0352,MAZDA,BLANCO,2017,BT-50 CS 4X2 STD GAS 2.2 RPA FL,CAMIONETA,11-05-2017,2011,USO PUBLICO,10-05-2022,
CAH0491,HYUNDAI,AMARILLO,2015,ACCENT SEDAN 1.4 STD,AUTOMOVIL,11-02-2015,2012,USO PUBLICO, ,
CBA1009,CHEVROLET,AZUL,2017,AVEO EMOTION 1.6L GLS,AUTOMOVIL,16-10-2017,2010,USO PARTICULAR,15-10-2022,
CBA1275,CHEVROLET,PLOMO,2019,AVEO ACTIVO 1.6L 4P STD,AUTOMOVIL,01-07-2019,2010,USO PARTICULAR,29-06-2024,
CBA1499,CHEVROLET,NEGRO,2020,AVEO ACTIVO 1.6L 4P STD,AUTOMOVIL,25-07-2020,2011,USO PARTICULAR,24-07-2025,
CBA2039,SUZUKI,DORADO,2018,GRAND VITARA SZ 2.0L 5P TM 4X2 FL,VEH. UTILITARIO,07-08-2018,2012,USO PARTICULAR,06-08-2023,
CBA2306,RENAULT,PLOMO,2017,LOGAN 1.6 M/T,AUTOMOVIL,28-08-2017,2012,USO PARTICULAR,27-08-2022,
CBA2579,TOYOTA,PLOMO,2016,BRT HILUX 4X4 CD SR TM 2.7 4P,CAMIONETA,26-01-2016,2013,USO PARTICULAR,30-10-2022,
CBA2624,CHEVROLET,DORADO,2017,LUV D-MAX CD OPTIMA TM 2.4 4X2,CAMIONETA,24-05-2017,2013,USO PARTICULAR,23-05-2022,
CBA2741,CHEVROLET,ROJO,2019,SPARK STD ACTIVO TM 1.0 5P 4X2,AUTOMOVIL,12-04-2019,2013,USO PARTICULAR,10-04-2024,
CBA3073,HYUNDAI,ANARANJADO,2016,GRAND I10 1.2 5P 4X2 TM,AUTOMOVIL,15-07-2016,2015,USO PARTICULAR,14-07-2021,
CBA3152,CHEVROLET,PLATEADO,2019,AVEO FAMILY STD 1.5 4P 4X2 TM,AUTOMOVIL,29-03-2019,2015,USO PARTICULAR,31-03-2024,
CBA3513,CHEVROLET,BLANCO,2016,SAIL STD 1.4 4P 4X2 TM,AUTOMOVIL,28-12-2016,2016,USO PARTICULAR,27-12-2021,
CBA3676,KIA,BLANCO,2019,SPORTAGE SL AC 2.0 5P 4X2 TM,VEH. UTILITARIO,25-07-2019,2018,USO PARTICULAR,23-07-2024,
CBO0697,KIA,BLANCO,2020,SPORTAGE L 2.0L 4X2 GSL,VEH. UTILITARIO,05-02-2020,2009,USO PARTICULAR,03-02-2025,
CBO0771,CHEVROLET,ROJO,2009,LUV D-MAX 2.5L DIESEL CS CHASIS TM 4X2,CAMIONETA,23-01-2009,2009,USO PARTICULAR, ,
CBR0099,MAZDA,BLANCO,2019,BT-50 CD 4X2 ACTION GAS 2.6,CAMIONETA,26-10-2019,2009,USO PARTICULAR,31-10-2024,
CEA0258,CHEVROLET,PLATEADO,2017,LUV D-MAX 3.0L DIESEL CD TM 4X4,CAMIONETA,09-05-2017,2009,USO ESTATAL,08-05-2022,
CEA0266,MAZDA,BLANCO,2018,BT-50 CS 4X4 STD GAS 2.6,VEHICULO ESPECIAL,17-08-2018,2009,USO ESTATAL,31-07-2023,
CEA0268,KIA,BLANCO,2019,PREGIO,VEHICULO ESPECIAL,23-09-2019,2008,USO ESTATAL,30-09-2024,
CEA0289,CHEVROLET,PLATEADO,2019,LUV D-MAX 3.5L V6 CD TM 4X4,CAMIONETA,16-10-2019,2010,USO PARTICULAR,31-10-2024,
CEA1066,CHEVROLET,BLANCO,2017,LUV D-MAX 3.0L DIESEL CD TM 4X4,CAMIONETA,04-08-2017,2009,USO ESTATAL,03-08-2022,
CEI1089,CHEVROLET,PLATEADO,2020,D-MAX CRDI AC 3.0 CD 4X4 TM DIESEL,CAMIONETA,14-10-2020,2016,USO ESTATAL,31-10-2025,
CMA1001,CHEVROLET,DORADO,2019,LUV D-MAX 3.0L DIESEL CD TM 4X4 EXTREME,CAMIONETA,26-02-2019,2011,USO PARTICULAR,29-02-2024,
CMA1301,SUZUKI,PLATEADO,2015,GRAND VITARA SZ 2.7L V6 5P TM 4X4,VEH. UTILITARIO,25-02-2015,2010,USO ESTATAL,24-02-2020,
CMA1306,CHEVROLET,NEGRO,2019,LUV D-MAX 3.0L DIESEL CD TM 4X4 EXTREME,CAMIONETA,02-09-2019,2012,USO ESTATAL,31-07-2024,
CMA1315,MAZDA,BLANCO,2017,BT-50 CD 4X2 ACTION GAS 2.6 FL,CAMIONETA,04-07-2017,2012,USO ESTATAL,03-07-2022,
CMA1326,MAZDA,PLATEADO,2019,BT-50 STD FL AC 2.6 CD 4X4 TM,CAMIONETA,15-08-2019,2015,USO ESTATAL,31-07-2024,
CPA1036,NISSAN,BLANCO,2019,NP300 FRONTIER CABINA DOBLE 4X2 2.4 MT 16V,CAMIONETA,15-07-2019,2010,USO ESTATAL,31-07-2024,
EAA1417,ZHONGTONG,ANARANJADO,2019,LCK6129H AC 10.8 2P 4X2 TM DIESEL,AUTOBUS,12-09-2019,2015,USO PUBLICO,31-08-2024,
EAA2123,FOTON,ROJO,2018,BJ4183SLFJA-2 AC 11.6 2P 4X2 TM DIESEL,UNIDAD DE CARGA Y REMOLQUE,13-03-2018,2017,USO PUBLICO,12-03-2023,
GBJ0971,CHEVROLET,AMARILLO,2018,CHEVYTAXI A/C,AUTOMOVIL,23-02-2018,2010,USO PUBLICO,28-02-2023,
GBL0042,CHEVROLET,AMARILLO,2015,CHEVYTAXI A/C,AUTOMOVIL,31-07-2015,2010,USO PUBLICO,29-12-2020,
GBL0951,CHEVROLET,AMARILLO,2018,CHEVYTAXI STD,AUTOMOVIL,03-08-2018,2010,USO PUBLICO,28-02-2023,
GBN1513,KIA,AMARILLO,2014,PREGIO,CAMIONETA,20-10-2014,2010,USO PUBLICO,04-06-2023,
GBN4683,KIA,AMARILLO,2017,PREGIO,CAMIONETA,20-02-2017,2012,USO PUBLICO,16-07-2023,
GBN6104,YUTONG,AMARILLO,2015,ZK6107HA AC 6.7 1P 4X2 TM DIESEL,AUTOBUS,11-03-2015,2015,USO PUBLICO,31-05-2024,
GBN9071,MERCEDES BENZ,BLANCO,2020,OF 1721-59,AUTOBUS,17-06-2020,2011,USO PUBLICO,28-02-2025,
GBO2353,NISSAN,AMARILLO,2017,VERSA AC 1.6 4P 4X2 TM,AUTOMOVIL,22-06-2017,2017,USO PUBLICO,21-06-2022,
GBO3364,HINO,BLANCO,2018,AK8JRSA 7.7 4X2 TM DIESEL CN,AUTOBUS,06-03-2018,2018,USO PUBLICO,05-03-2023,
GBO5638,CHEVROLET,BLANCO,2018,MT134S BUS 7.8 3P 4X2 TM DIESEL,AUTOBUS,19-06-2018,2018,USO PUBLICO,18-06-2023,
GBO5713,CHEVROLET,BLANCO,2018,FVZ 34P AC 7.8 2P 6X4 TM DIESEL,VEHICULO ESPECIAL,04-07-2018,2016,USO PUBLICO,03-07-2023,
GQX0152,CHEVROLET,BLANCO,2017,AVEO ACTIVO 1.6L 4P AC,AUTOMOVIL,06-03-2017,2009,USO PARTICULAR,05-03-2022,
GRF0573,MAZDA,AZUL,2015,BT-50 CD 4X4 ACTION CO CRD 2.5,CAMIONETA,25-04-2015,2009,USO PARTICULAR,21-09-2021,
GRF0946,NISSAN,CREMA,2013,TIIDA 1.6 MT,AUTOMOVIL,02-04-2013,2009,USO PARTICULAR,13-12-2020,
GRJ0728,HYUNDAI,CREMA,2013,SANTA FE 7PAS 4X2 2.2 TA DSL,VEH. UTILITARIO,17-09-2013,2009,USO PARTICULAR,02-05-2021,
GRM0960,CHEVROLET,VINO,2014,LUV D-MAX 2.4L CD TM 4X2,CAMIONETA,24-06-2014,2009,USO PARTICULAR,22-01-2024,
GRW8190,FORD,NEGRO,2010,ESCAPE HIBRIDO,VEH. UTILITARIO,04-03-2010,2010,USO PARTICULAR,29-11-2021,
GRW8966,CHEVROLET,BLANCO,2018,GRAND VITARA 2.0L 5P DLX TM 4X2,VEH. UTILITARIO,27-09-2018,2010,USO PARTICULAR,31-07-2024,
GRY4257,HYUNDAI,NEGRO,2019,SANTA FE 7PAS 4X2 2.4 TA FULL,VEH. UTILITARIO,26-12-2019,2010,USO PARTICULAR,31-08-2024,
GRZ1981,RENAULT,VINO,2014,LOGAN 1.4 MT AC,AUTOMOVIL,18-06-2014,2011,USO PARTICULAR,31-01-2024,
GSA2882,CHEVROLET,BLANCO,2014,GRAND VITARA 2.0L 5P DLX TM 4X2,VEH. UTILITARIO,06-03-2014,2011,USO PARTICULAR,31-12-2015,
GSA3992,CHEVROLET,PLOMO,2012,VITARA AC 1.6 3P 4X4 TM,VEH. UTILITARIO,14-11-2012,2011,USO PARTICULAR,10-12-2022,
GSA7120,MAZDA,NEGRO,2015,BT-50 CD 4X2 ACTION GAS 2.6 FL,CAMIONETA,04-12-2015,2011,USO PARTICULAR,08-08-2022,
GSC4740,CHEVROLET,BLANCO,2015,AVEO ACTIVO 1.6L 4P STD,AUTOMOVIL,29-12-2015,2012,USO PARTICULAR,29-06-2023,
GSC5816,MAZDA,AZUL,2016,BT-50 CD 4X2 STD GAS 2.2 FL,CAMIONETA,24-06-2016,2012,USO PARTICULAR, ,
GSC5893,CHEVROLET,BLANCO,2017,AVEO FAMILY 1.5L TM STD,AUTOMOVIL,29-12-2017,2011,USO PARTICULAR,28-12-2022,
GSD1419,SUZUKI,PLOMO,2019,GRAND VITARA SZ 2.0L 5P TM 4X2 FL,VEH. UTILITARIO,21-10-2019,2012,USO PARTICULAR, ,
GSF4655,HINO,AMARILLO,2015,FM1JLUD TM 7.96 2P 6X4,VEHICULO ESPECIAL,28-08-2015,2013,USO PARTICULAR,29-06-2021,
GSG4473,CHEVROLET,BLANCO,2015,AVEO EMOTION GLS TM 1.6 4P 4X2,AUTOMOVIL,30-03-2015,2013,USO PARTICULAR,16-07-2022,
GSH3300,CHEVROLET,BLANCO,2013,N300 MOVE PASAJEROS FULL AC 1.2 4P 4X2 TM,CAMIONETA,07-03-2013,2013,USO PARTICULAR,30-11-2017,
GSI3508,SINOTRUK,BLANCO,2013,ZZ3257N3247B AC 9.7 2P 6X4 TM DIESEL,SIN VALOR,13-06-2013,2013,USO PARTICULAR, ,
GSI6501,CHEVROLET,PLATEADO,2017,N300 MOVE PASAJEROS FULL AC 1.2 4P 4X2 TM,CAMIONETA,23-02-2017,2013,USO PARTICULAR,27-02-2022,
GSI7840,HINO,BLANCO,2017,XZU710L-HKFQL3 4.0 2P 4X2 TM DIESEL,CAMION,24-02-2017,2014,USO PARTICULAR,29-11-2022,
GSK7205,NISSAN,AZUL,2017,SENTRA ADVANCE AC 1.8 4P 4X2 TA,AUTOMOVIL,22-06-2017,2014,USO PARTICULAR,09-09-2023,
GSL3068,QMC,BLANCO,2017,CRONOS 3.0 TM 3.3 2P 4X2,CAMION,28-09-2017,2013,USO PARTICULAR,30-09-2018,
GSL4079,CHEVROLET,BLANCO,2014,D-MAX CRDI 3.0 CD 4X4 TM DIESEL,CAMIONETA,13-05-2014,2014,USO PARTICULAR,04-05-2022,
GSL7973,NISSAN,PLOMO,2014,MARCH AC 1.6 4P 4X2 TM,AUTOMOVIL,04-07-2014,2014,USO PARTICULAR,17-08-2019,
GSM4750,FORD,ROJO,2018,F 150 SC,CAMIONETA,04-07-2018,2014,USO PARTICULAR, ,
GSM5322,CHEVROLET,BLANCO,2014,FTR 34P 7.8 2P 4X2 TM DIESEL,CAMION,29-08-2014,2014,USO PARTICULAR,28-08-2019,
GSN1309,JAC,BLANCO,2014,HFC1035KD AC 2.8 2P 4X2 TM DIESEL,CAMION,21-10-2014,2015,USO PARTICULAR,20-10-2019,
GSP1531,CHERY,PLOMO,2015,Q22L AC 1.2 5P 4X2 TM,CAMIONETA,10-06-2015,2016,USO PARTICULAR,08-06-2020,
GSR2025,MAZDA,PLOMO,2016,CX-5 AC 2.0 5P 4X2 TA,SIN VALOR,05-07-2016,2017,USO PARTICULAR,01-08-2023,
GSS2832,FORD,COBRE,2016,F150 LARIAT SC ECOBOOST AC 3.5 CD 4X4 TA,CAMIONETA,31-10-2016,2016,USO PARTICULAR,30-10-2021,
GST4355,TOYOTA,BLANCO,2017,NEW HILUX 2.4 CD 4X4 TM DIESEL,CAMIONETA,22-02-2017,2017,USO PARTICULAR,21-02-2022,
GST8395,CHEVROLET,DORADO,2017,AVEO FAMILY STD 1.5 4P 4X2 TM,AUTOMOVIL,02-05-2017,2017,USO PARTICULAR,27-04-2022,
GSU2588,CHEVROLET,PLATEADO,2017,D-MAX CRDI 3.0 CD 4X2 TM DIESEL,CAMIONETA,13-06-2017,2017,USO PARTICULAR,12-06-2022,
GSV5001,CHEVROLET,VINO,2017,SAIL LS AC 1.5 4P 4X2 TM,AUTOMOVIL,15-11-2017,2018,USO PARTICULAR,14-11-2022,
GSX1977,KIA,BLANCO,2018,RIO LX AC 1.4 4P 4X2 TM,AUTOMOVIL,27-01-2018,2018,USO PARTICULAR,27-05-2024,
GSX7153,HYUNDAI,PLATEADO,2018,TUCSON TL AC 2.0 5P 4X2 TM,VEH. UTILITARIO,31-03-2018,2018,USO PARTICULAR,30-03-2023,
GSZ2194,HYUNDAI,PLATEADO,2018,IONIQ GS AC 1.6 5P 4X2 TA HYBRID,AUTOMOVIL,12-05-2018,2018,USO PARTICULAR,15-01-2025,
GSZ2879,GREAT WALL,PLATEADO,2018,WINGLE 5 AC 2.2 CD 4X2 TM,CAMIONETA,22-05-2018,2019,USO PARTICULAR,21-05-2023,
GSZ2962,CHEVROLET,VINO,2018,SPARK LIFE STD 1.0 5P 4X2 TM,AUTOMOVIL,31-05-2018,2019,USO PARTICULAR,30-05-2023,
GSZ2991,CHEVROLET,BLANCO,2018,AVEO FAMILY STD 1.5 4P 4X2 TM,AUTOMOVIL,05-06-2018,2019,USO PARTICULAR,04-06-2023,
GSZ3328,CHEVROLET,ROJO,2018,D-MAX CRDI FULL AC 3.0 CD 4X4 TM DIESEL,CAMIONETA,07-06-2018,2018,USO PARTICULAR,06-06-2023,
GSZ4177,JAC,PLATEADO,2018,HFC1037DEV INTER AC 2.0 4P 4X2 TM,CAMIONETA,23-05-2018,2019,USO PARTICULAR,22-05-2023,
GSZ4184,HYUNDAI,PLOMO,2018,IONIQ GS AC 1.6 5P 4X2 TA HYBRID,AUTOMOVIL,23-05-2018,2018,USO PARTICULAR,22-05-2023,
GSZ5101,TOYOTA,ROJO,2018,HILUX 2.7 CD 4X2 TM,CAMIONETA,08-06-2018,2019,USO PARTICULAR,07-06-2023,
GSZ5279,KIA,PLATEADO,2018,SPORTAGE SL AC 2.0 5P 4X2 TA,VEH. UTILITARIO,04-06-2018,2019,USO PARTICULAR,03-06-2023,
GSZ8063,CHEVROLET,VINO,2018,SPARK LIFE STD 1.0 5P 4X2 TM,AUTOMOVIL,02-07-2018,2019,USO PARTICULAR,01-07-2023,
HAA1331,NISSAN,AMARILLO,2018,SENTRA 1.6 M/T,AUTOMOVIL,23-02-2018,2011,USO PUBLICO,22-02-2023,
HAA1485,HINO,BLANCO,2017,GH8JMSA,CAMION,28-06-2017,2012,USO PUBLICO,27-06-2022,
HAA2797,HINO,CREMA,2015,AK8JRSA AC 7.7 3P 4X2 TM DIESEL,AUTOBUS,06-10-2015,2016,USO PUBLICO,28-07-2024,
HAA2906,HINO,PLATEADO,2020,AK8JRSA 7.7 2P 4X2 TM DIESEL,AUTOBUS,29-07-2020,2016,USO PUBLICO,31-07-2020,
HBA1354,CHEVROLET,BLANCO,2019,NHR CHASIS CABINADO,CAMION,11-04-2019,2009,USO PARTICULAR,09-04-2024,
HBA1545,CHEVROLET,BLANCO,2019,LUV D-MAX 3.0L DIESEL  CD TM 4X2,CAMIONETA,28-11-2019,2009,USO PARTICULAR,26-11-2024,
HBA1687,CHEVROLET,NEGRO,2016,AVEO ACTIVO 1.6L 4P STD,AUTOMOVIL,24-06-2016,2009,USO PARTICULAR, ,
HBA2290,KIA,ROJO,2017,SOUL 1.6L LX MT,VEH. UTILITARIO,21-11-2017,2010,USO PARTICULAR,20-11-2022,
HBA2570,CHEVROLET,PLOMO,2018,AVEO ACTIVO 1.6L 4P STD,AUTOMOVIL,18-01-2018,2010,USO PARTICULAR,17-01-2023,
HBA3349,CHEVROLET,AMARILLO,2017,AVEO ACTIVO 1.6L 4P STD,AUTOMOVIL,28-03-2017,2011,USO PUBLICO,27-03-2022,
HBA3654,CHEVROLET,PLATEADO,2020,LUV D-MAX 2.4L CD TM 4X2 OPTIMA,CAMIONETA,13-02-2020,2012,USO PARTICULAR,11-02-2025,
HBA4481,MAZDA,VINO,2014,BT-50 CD 4X4 STD CRD 2.5 FL,CAMIONETA,28-01-2014,2010,USO PARTICULAR,20-01-2025,
HBA4645,SUZUKI,ROJO,2016,GRAND VITARA SZ 2.0L 5P TM 4X2,VEH. UTILITARIO,02-08-2016,2010,USO PARTICULAR,27-01-2025,
HBA4693,CHEVROLET,PLOMO,2017,AVEO ACTIVO 1.6L 4P STD,AUTOMOVIL,06-12-2017,2010,USO PARTICULAR,05-12-2022,
HBA5017,HYUNDAI,BLANCO,2017,HD78 CHASIS CABINADO,CAMION,21-02-2017,2010,USO PARTICULAR, ,
HBA5863,CHEVROLET,PLOMO,2020,AVEO FAMILY 1.5L TM STD,AUTOMOVIL,13-08-2020,2011,USO PARTICULAR,30-04-2025,
HBA5903,HINO,BLANCO,2017,FC9JJSA,CAMION,22-03-2017,2011,USO PUBLICO,21-03-2022,
HBA6167,CHEVROLET,VINO,2019,AVEO EMOTION 1.6L GLS,AUTOMOVIL,07-12-2019,2011,USO PARTICULAR,31-08-2024,
HBA7859,CHEVROLET,BLANCO,2015,LUV D-MAX 2.4L CD TM 4X2 OPTIMA,CAMIONETA,17-09-2015,2011,USO PARTICULAR, ,
HBA8305,CHEVROLET,BLANCO,2016,NHR CHASIS CABINADO,CAMION,24-05-2016,2012,USO PARTICULAR,23-05-2021,
HBA9904,CHEVROLET,BLANCO,2020,GRAND VITARA 2.0L 5P DLX TM 4X2,VEH. UTILITARIO,22-10-2020,2011,USO PARTICULAR,21-10-2025,
HBB2388,MAZDA,PLATEADO,2016,BT-50 CS STD FL TM 2.6 2P 4X4,CAMIONETA,01-09-2016,2013,USO PARTICULAR,31-08-2021,
HBB2782,SUZUKI,AZUL,2018,GRAND VITARA SZ FL TM 2.0 5P 4X2,VEH. UTILITARIO,07-03-2018,2013,USO PARTICULAR,06-03-2023,
