NUMERO_PLACA,MARCA,COLOR,ANIO DE MATRICULA,MODELO,CLASE,FECHA DE MATRICULA,ANIO,SERVICIO,FECHA DE CADUCIDAD
GSO8403,SUZUKI,BLANCO,2015,GRAND VITARA SZ NEXT AC 2.4 5P 4X2 TA,VEH. UTILITARIO,05-05-2015,2015,USO PARTICULAR, ,
GSP6688,GREAT WALL,AZUL,2019,HOVER H5 ELITE AC 2.4 5P 4X2 TM,VEH. UTILITARIO,20-09-2019,2016,USO PARTICULAR,30-09-2025,
GSR2557,KIA,PLATEADO,2020,PICANTO R LX 1.2 4P 4X2 TM,AUTOMOVIL,29-09-2020,2017,USO PARTICULAR,24-07-2026,
GSR8532,VOLKSWAGEN,AZUL,2016,AMAROK BI-TDI 2HBA34 AC 2.0 CD 4X4 TM DIESEL,CAMIONETA,30-11-2016,2016,USO PARTICULAR,29-11-2021,
GST4354,TOYOTA,NEGRO,2017,PRIUS C SPORT AC 1.5 5P 4X2 TA HYBRID,AUTOMOVIL,22-02-2017,2017,USO PARTICULAR,21-02-2022,
GST5131,HYUNDAI,BLANCO,2017,CRETA AC 1.6 5P 4X2 TM,SIN VALOR,23-03-2017,2017,USO PARTICULAR,22-03-2022,
GST7714,GREAT WALL,PLATEADO,2017,M4 LUXURY AC 1.5 5P 4X2 TM,VEH. UTILITARIO,11-04-2017,2017,USO PARTICULAR,10-04-2022,
GSU1968,SUZUKI,PLOMO,2017,GRAND VITARA SZ AC 2.4 5P 4X2 TA,VEH. UTILITARIO,31-05-2017,2017,USO PARTICULAR,30-05-2022,
GSU2403,HYUNDAI,BLANCO,2017,CRETA AC 1.6 5P 4X2 TM,VEH. UTILITARIO,14-06-2017,2017,USO PARTICULAR,13-06-2022,
GSU2427,HYUNDAI,PLATEADO,2017,CRETA AC 1.6 5P 4X2 TM,VEH. UTILITARIO,29-06-2017,2017,USO PARTICULAR,28-06-2022,
GSU3350,KIA,PLOMO,2017,SPORTAGE SL AC 2.0 5P 4X2 TM,VEH. UTILITARIO,26-06-2017,2018,USO PARTICULAR,25-06-2022,
GSX5351,KIA,PLATEADO,2018,SPORTAGE SL AC 2.0 5P 4X2 TM,VEH. UTILITARIO,27-02-2018,2018,USO PARTICULAR,26-02-2023,
GSX8993,PEUGEOT,NEGRO,2018,P84 FIN H 16E BA6 AC 1.6 5P 4X2 TA,VEH. UTILITARIO,20-04-2018,2018,USO PARTICULAR,19-04-2023,
GSZ1244,CHEVROLET,BLANCO,2018,SPARK GT AC 1.2 5P 4X2 TM,AUTOMOVIL,24-04-2018,2019,USO PARTICULAR,23-04-2023,
GSZ1974,KIA,NEGRO,2018,PICANTO LX AC 1.2 4P 4X2 TM,AUTOMOVIL,02-05-2018,2019,USO PARTICULAR,01-05-2023,
GSZ3490,TOYOTA,PLATEADO,2018,YARIS HB AC 1.5 5P 4X2 TM,AUTOMOVIL,18-05-2018,2019,USO PARTICULAR,17-05-2023,
GSZ3823,KIA,CELESTE,2018,PICANTO EX AC 1.2 4P 4X2 TM,AUTOMOVIL,18-05-2018,2019,USO PARTICULAR,17-05-2023,
GSZ4452,CHEVROLET,PLATEADO,2018,SAIL LS AC 1.5 4P 4X2 TM,AUTOMOVIL,30-05-2018,2019,USO PARTICULAR,29-05-2023,
GSZ4674,CHEVROLET,VINO,2018,SPARK GT AC 1.2 5P 4X2 TM,AUTOMOVIL,05-06-2018,2019,USO PARTICULAR,04-06-2023,
GSZ7846,HYUNDAI,ROJO,2018,CRETA GS AC 1.6 5P 4X2 TM,VEH. UTILITARIO,30-06-2018,2019,USO PARTICULAR,29-06-2023,
HAA1699,NISSAN,AMARILLO,2018,SENTRA 1.6 M/T,AUTOMOVIL,17-05-2018,2011,USO PUBLICO,16-05-2023,
HAA2069,HINO,BLANCO,2015,AK8JRSA 7.7 1P 4X2 TM DIESEL,AUTOBUS,27-10-2015,2016,USO PUBLICO, ,
HAA2982,KIA,AMARILLO,2016,RIO R LX 1.4 4P 4X2 TM,AUTOMOVIL,04-10-2016,2017,USO PUBLICO,03-10-2021,
HAA2988,CHEVROLET,AMARILLO,2016,AVEO EMOTION GLS AC 1.6 4P 4X2 TM,AUTOMOVIL,18-10-2016,2017,USO PUBLICO,17-10-2021,
HAA3062,HINO,VERDE,2017,AK8JRSA CON RETARD 7.7 2P 4X2 TM DIESEL,AUTOBUS,16-06-2017,2017,USO PUBLICO,15-06-2022,
HBA2118,MAZDA,PLOMO,2018,BT-50 CD 4X4 STD CRD 2.5 FL,CAMIONETA,08-11-2018,2010,USO PARTICULAR,30-09-2023,
HBA2534,TOYOTA,PLATEADO,2019,ETT HILUX 4X2 CD,CAMIONETA,30-05-2019,2010,USO PARTICULAR,30-05-2024,
HBA2989,CHEVROLET,BLANCO,2018,FVR 23P CHASIS CABINADO,VEHICULO ESPECIAL,29-10-2018,2009,USO PUBLICO,28-10-2023,
HBA4062,CHEVROLET,BLANCO,2019,VITARA 1.6L 3P STD TM 4X4,VEH. UTILITARIO,14-06-2019,2010,USO PARTICULAR,12-06-2024,
